Person,Category,Quality,Text
A,Engagement,Positive,I understand that your situation is very tough right now.
A,Problem Resolution,Positive,"Since you did pay for your connection, what I can do is to open a ticket or submit a report so that the other department can immediately complete your payment and reconnect your internet as soon as possible. "
A,Account Verification,Positive,"And to make it possible sir, I just need your payment ID."
C,,,Okay so my payment ID is 19216811.
C,,,Did you get it?
A,Engagement,Positive,"Yes sir, thank you."
A,Problem Resolution,Positive,I am now doing the report and will submit it as soon as I finish this.
A,Engagement,Positive,Please stay online for a minute Mr. Sobremonte.
C,,,"Okay I will, thank you."
A,Problem Resolution,Positive,"Hello sir, kindly expect to have your reconnection within 24 hours."
A,Problem Resolution,Positive,We will send you a text message informing that you have already paid and connected to the internet service to your phone number.
C,,,Thank God for that!
C,,,I am furious because I really need internet connection.
A,Engagement,Positive,"Again sir, I'm terribly sorry."
A,Closure,Positive,Is there anything else I can help you with sir?
C,,,I don't need anything else.
A,Closure,Positive,"If none, thanks for calling and don't hesitate to call again if ever you'll have a problem with your connection."
A,Closure,Positive,Have a great day sir.
C,,,Okay thank you.
A,Closure,Positive,Bye.
A,Greetings,Positive,Thank you for calling Martha's flowers.
A,Greetings,Positive,How may I assist you?
C,,,"Hello, I'd like to order flowers and I think you have what I'm looking for."
A,Engagement,Positive,I'd be happy to take care of your order.
A,Account Verification,Positive,May I have your name please?
C,,,Randall Thomas
A,NA,,Can you spell that for me?
C,,,"Randall R A N D A L L, Thomas T H O M A S"
A,Engagement,Positive,Thank you for that information Randall.
A,Account Verification,Positive,May I have your home or office number area code first?
C,,,4 0 9 8 6 6 5 0 8 8
A,NA,,That's 4 0 9 8 6 6 5 0 8 8.
A,Account Verification,Positive,Do you have a fax number or email address?
C,,,randall.thomas@gmail.com
A,Account Verification,Positive,May I have your shipping address?
C,,,"800, Gladys Avenue, Beaumont, Texas. Zip Code is 77706"
A,Engagement,Positive,Thank you for the information.
A,Problem Investigation,Positive,What product are you interested in purchasing?
C,,,"Red roses, probably a dozen."
A,Problem Investigation,Positive,"A dozen of red roses, do you want long stems?"
A,Problem Resolution,Positive,"Alright Randall, let me process your order. One moment please."
A,Problem Resolution,Positive,Okay Randall. we are ordering one dozen of long-stemmed red roses.
A,Problem Resolution,Positive,The total of your orders is $40 and it will be shipped to your address within 24 hours.
C,,,When will you be delivering my roses again?
A,Problem Resolution,Positive,Within 24 hours.
C,,,"Okay, no problem."
A,Closure,Positive,Is there anything else I can help you with?
C,,,"That's all for now, thanks."
A,Closure,Positive,No problem Randall.
A,Closure,Positive,Thank you for calling Martha's Flowers.
A,Closure,Positive,Have a nice day.
A,Greetings,Positive,Thank you for calling to Delonix.
A,Greetings,Positive,This is Nina speaking.
A,Greetings,Positive,How can I help you today?
C,,,"Hi, I'm just in your website and I know you've got a special on your seventeen spotlights and I wanted to place in an order if there's still available place."
A,Engagement,Positive,Sure. I will be happy to assist you.
A,Account Verification,Positive,Can I start with your name please?
C,,,Jeremy Logan.
A,Problem Investigation,Positive,Thank you Mr. Jeremy and did you want the invoice made out in your name or your company name?
C,,,My name is fine.
A,Account Verification,Positive,"Okay, no problem and can I get the delivery address please?"
C,,,"It's 123, Blue Ridge Crescent, Bonneville, 2106, NSW."
A,Engagement,Positive,Thank You Mr. Logan.
A,Account Verification,Positive,And do you have an email address so I can send your receipt and online tracking too?
C,,,"Yes, it's jeremymorgan@gmail.com."
A,Problem Investigation,Positive,"Great, now 217 spotlights are available in 35 watts or 55 watts, which one do you want?"
C,,,The 55 watts ones please.
A,Problem Investigation,Positive,All right and do you know what colour temperature you want for the vaults?
C,,,"Yeah thinking that 6000k ones, that's the bluish colour right?"
A,NA,,Yes 6000k is slight white which is a blue tinge.
A,Problem Investigation,Positive,"Okay, Thank you, now, for the postage, we have registered post or express post."
A,Problem Investigation,Positive,Which one are you interested in?
C,,,How much are each please?
A,Problem Resolution,Positive,"Sure, registered post is $12.45 and the delivery time is 3 to 5 business days or express post is $18.85 and delivery time is 1 to 2 days."
C,,,"Okay, I'll take the Express post."
A,Account Verification,Positive,"Great, so all I need now is your visa or MasterCard details please?"
C,,,Okay it's a Visa card and the number is 43211234567821234.
A,Problem Resolution,Positive,And the expiry please?
C,,,1/10/2014.
A,Engagement,Positive,Thank you for that.
A,Account Verification,Positive,"And, can you also grabbed the security number on the card?"
A,Problem Resolution,Positive,It's the last 3 digits on the back of the card.
C,,,"Yeah, that would be 123."
A,NA,,"Great, let me just repeat those details to you."
A,Problem Resolution,Positive,"It's a Visa card number 43211234567821234, expiry 10/14 and CCV is 123."
C,,,Yep.
A,Engagement,Positive,"Okay great, thank you Mr. Logan."
A,Problem Resolution,Positive,"So we have one pair of seven-inch spotlights and 55 watt 6000k going to Jeremy Logan at 123, Blue Ridge Crescent, Bonneville, 2106, NSW and that will be shipped out today."
C,,,Perfect.
A,Problem Resolution,Positive,"Once your order has been shipped, Jenny will email your online tracking number but you should receive your order before 12 o'clock tomorrow, Sydney time."
C,,,Right.
A,Closure,Positive,Is there anything else that I can help you with Mr. Logan?
C,,,"Oh that's fine, thank you."
A,Closure,Positive,You're welcome and thank you very much for choosing Delonix and enjoy the rest of your afternoon.
C,,,You too.
A,Closure,Positive,"Thank you, bye."
A,Greetings,Positive,Thank you for calling Amazon customer services.
A,Greetings,Positive,This is Georgina.
A,Greetings,Positive,How can I help?
C,,,"Hi Georgina, this is Brian."
C,,,I'm calling because I haven't received my item yet.
A,Engagement,Positive,"Hello Brian, I'm really sorry if you haven't received your parcel."
A,Engagement,Positive,"No worries, since you have me on the line, I'll be more than willing to assist."
C,,,Oh okay.
A,Account Verification,Positive,"Alright, for security purposes, can I have the complete name on the account?"
C,,,"Sure, it's Brian Johnson."
A,Account Verification,Positive,"Okay, can I also have your email address?"
C,,,"Sure, it's brian205@yahoo.com."
A,Engagement,Positive,Thanks for verifying those information to me.
A,NA,,Let me proceed to your account.
A,Problem Investigation,Positive,"It seems that you are referring to Meets Attack 500x5, am i right?"
C,,,"You've got it right, Georgina."
A,Problem Investigation,Positive,"Cool, based on the information here yeah, it already passed the estimated delivery date."
A,Problem Resolution,Positive,"It is quite late for a week already. Since the item is shipped and sold by amazon, we can process a full refund or a replacement."
A,Problem Resolution,Positive,Which one would work for you?
C,,,I really wanted to get the item as soon as possible.
C,,,I chose the free shipping to save shipment fees.
C,,,"However, I didn't expect that it will come later than expected."
A,Engagement,Positive,I'm really sorry for the inconvenience Brian.
A,Problem Resolution,Positive,"To compensate, I can request a refund for that order and process a replacement right now."
A,Problem Resolution,Positive,"Then, expedited to one day shipping without additional cost for the shipping."
C,,,"Really, you can do that for me?"
A,NA,,"Yes, of course."
A,Problem Resolution,Positive,Let me process your order.
A,NA,,One moment please.
C,,,"Thanks, please take your time."
C,,,May I know how in the world can I receive my refund?
A,Problem Resolution,Positive,"Brian, the refund was already requested."
A,Problem Resolution,Positive,Expect to receive the refund within two to three business days.
A,Problem Resolution,Positive,It will be credited back to the original payment method you use in placing the order.
A,Problem Resolution,Positive,"Also, I've already processed the replacement you can have the item by today until tomorrow."
A,Problem Resolution,Positive,Then the confirmation regarding our conversation will be sent to your account.
A,Engagement,Positive,"If you want, I can also help you track your order and reach you back tomorrow just to make sure that you are receiving the item within the expected date."
C,,,Yes please.
A,Account Verification,Positive,"Great, can I have your phone number?"
C,,,"Sure, it's 3143463534543."
A,Engagement,Positive,"Got it, thanks."
A,NA,,Expect my call tomorrow.
C,,,I will.
A,Closure,Positive,"Aside from this, is there anything else that I can help you with?"
C,,,"No, you're doing great great."
C,,,I really appreciate it.
A,Engagement,Positive,"Thank you, Brian."
A,Closure,Positive,I think we are all set.
A,Closure,Positive,"For other queries, feel free to visit our help pages."
A,Closure,Positive,Thank you for calling amazon and have a nice day.
C,,,"Thank you so much, goodbye."
A,Greetings,Positive,Thank you for calling Rex Global customer service.
A,Greetings,Positive,This is Megan. 
A,Greetings,Positive,How can I help you?
C,,,"Hi Megan, I'm calling because i was charged a dollar like out of nowhere."
C,,,What is this a scam?
C,,,Can you help me or can someone from there explain what's happening?
A,Engagement,Positive,I am sorry to hear about a dollar charge in your account.
A,Engagement,Positive,But don't you worry. I can definitely help you with that.
C,,,Oh okay.
C,,,"Well, let's see."
A,Account Verification,Positive,"Alright, Can you start with your name please?"
C,,,Yeah sure.
C,,,Max Hermit.
A,,,Thank you.
A,Account Verification,Positive,How about your email address?
C,,,"Yeah, Uh, it's max_hermit001@gmail.com."
A,,,Thank you.
A,NA,,Let me proceed to your account.
A,Problem Investigation,Positive,"Max, when you place your first order, Rex Global contacts your issuing bank to confirm the validity of the payment method."
A,Problem Investigation,Positive,It is not an actual charge but a one dollar authorisation hold.
C,,,"Seriously, for how long will it take?"
A,Problem Resolution,Positive,"Well, it isn't that long, most often, it takes 1 to 2 business days."
A,Problem Resolution,Positive,The authorisation will be removed from your account once a transaction is already processed.
C,,,"Oh okay, that's a relief."
C,,,I mean now I understand.
C,,,"I appreciate that, thanks."
A,Engagement,Positive,You're most welcome.
A,Problem Resolution,Positive,I can also send a confirmation regarding this call for your reference.
C,,,I appreciate it.
A,Closure,Positive,"Aside from this, is there anything else that I can assist?"
C,,,"No, I think we are good."
C,,,Thanks a lot Megan.
A,Closure,Positive,I'm really glad to help!
A,Closure,Positive,"You may also see the help pages for other queries, Max."
A,Closure,Positive,Thank you for calling Rex Global and have a nice day.
C,,,You too.
C,,,Have a good one!
A,Closure,Positive,Goodbye.
A,Greetings,Positive,Thank you for calling JP International.
A,Greetings,Positive,This is Carla.
A,Greetings,Positive,Can I have your name please?
C,,,"Hi Carla, I'm Athena."
A,Greetings,Positive,Hello Athena.
A,Greetings,Positive,How are you today and how can I assist?
C,,,I am really frustrated right now.
C,,,I'm calling because I ordered an item last Monday from your store.
C,,,I expedited it to two-day shipping just to make sure that i'll be receiving the item on or before Thursday.
C,,,"It's a birthday present, tomorrow."
C,,,"Listen y'all, I paid for expedited shipping but i'm not receiving the item for three days already."
C,,,I need someone who can help explain this to me!
A,NA,,I understand your.
C,,,You know what's funny?
C,,,It was tracked as delivered yesterday.
C,,,I looked everywhere in the house.
C,,,It's nowhere to be found.
C,,,I don't know what y'all are doing.
C,,,What I'm certain is-this is a scam.
C,,,"If you can't handle this, let me just talk with the supervisor."
A,Engagement,Positive,I am really sorry to hear if you haven't received your item for a special event.
A,Engagement,Positive,Also if it was tracked as delivered although not yet received.
A,Engagement,Positive,I do understand your frustration right now for this inconvenience but no worries.
A,Engagement,Positive,Rest assured that this company isn't a scam and I can definitely help you.
C,,,Okay let's see.
A,Account Verification,Positive,"Alright, For security purposes can I have your complete name please?"
C,,,It's Athena Salmnher.
A,Engagement,Positive,Thank you.
A,Account Verification,Positive,Can I also have the email address associated with your account?
C,,,It's athena561@yahoo.com.
A,Engagement,Positive,Okay thank you.
A,Account Verification,Positive,How about the last four digits of the order number?
C,,,Okay i think it's 2341.
A,Account Verification,Positive,"Got it, so those were man sneaker shoes and an iPhone."
A,Problem Investigation,Positive,"One second, let me check the details for a while."
A,Problem Investigation,Positive,"Based on the information, here it was delivered and received."
A,Account Verification,Positive,To verify could you tell me the shipping address you wanted to ship the parcel?
C,,,Oh you're wasting my time!
C,,,"It's in Wilmington, North Carolina."
A,Problem Investigation,Positive,"Hmm, based on the record here, it seems that the parcel was delivered to the wrong address."
C,,,Wow! This is terrible.
C,,,I have to request for a refund away to be processed.
C,,,The worst part is they have to reorder and expedite it without assurance of having the item tomorrow.
C,,,Horrible!
A,Engagement,Positive,"Oh, I understand where you're coming from Athena."
A,Problem Resolution,Positive,"To compensate, I can process a replacement and expedite in the same day shipping."
A,Problem Resolution,Positive,You don't have to pay for the shipment.
A,Problem Resolution,Positive,You just have to wait.
A,Problem Resolution,Positive,I'll get back to you and notify you once the package shipped out.
A,Problem Resolution,Positive,I'll be tracking the package and I will check with the carrier just to make sure that it will be delivered in the correct address and within a day.
A,Problem Resolution,Positive,Would that work for you?;
C,,,Oh that's very kind of you.
C,,,I really appreciate it.
A,Engagement,Positive,No problem.
A,Problem Resolution,Positive,I've successfully processed a replacement and sent you the confirmation regarding this call as your reference.
A,Problem Resolution,Positive,Expect to receive the products within a day.
C,,,Oh my gosh.
C,,,"Wow, you're amazing!"
C,,,I really apologise for what I said earlier.
A,Engagement,Positive,"It's okay, I understand I would feel the same way if I am in your situation."
A,Engagement,Positive,Thank you for your patience by the way.
A,Closure,Positive,Anything else that I can help?
C,,,No No No you're doing great.
C,,,Everything is fine right now.
A,Closure,Positive,That's good to hear.
A,Closure,Positive,I'm glad to help you.
A,Closure,Positive,"For other concerns, feel free to visit our help pages."
A,Closure,Positive,Thank you for calling JP  International.
A,Closure,Positive,Have a nice day.
C,,,You as well.
C,,,Thank you so much.
C,,,Goodbye.
A,Closure,Positive,Goodbye.
A,Greetings,Positive,Hi.
A,Greetings,Positive,Thank you for calling home supplies.
A,Greetings,Positive,This is Candice.
A,Greetings,Positive,How may I help you?
C,,,Order number 123456.
C,,,Full name Amber Hill.
A,Engagement,Positive,Thank You.
A,Problem Investigation,Positive,Give me one moment please so I can pull up your account.
A,Problem Investigation,Positive,"Okay, I got your order here and it was for a convection oven for 129."
A,Problem Investigation,Positive,Is this correct?
C,,,"Yes, correct."
C,,,Except that you guys sent me a cutting board
A,Engagement,Positive,Oh I am so sorry.
A,NA,,That was.
C,,,No no no no no no. 
C,,,Let me finish.
C,,,"Don't give me your story for this inconvenience bullshit, because this is not an inconvenience Candice."
C,,,This is a disaster.
C,,,I am upset.
C,,,I waited one long week.
C,,,One long week and you guys sent me a cutting board.
C,,,"I mean, how would you even explain that Candice?"
C,,,How could you even explain that someone from your shipping department could mistake a piece of cutting board for an oven?
C,,,That's what i'd like to know because I can see how it's my son's birthday this Thursday and I need that oven to bake his cake.
C,,,It is now Monday and I have no oven but hey I guess that's okay right because I have a fucking cutting board.
A,Engagement,Positive,"Amber, I truly understand how frustrating this is for you."
A,Engagement,Positive,"I truly do, I do."
A,Problem Investigation,Positive,I know that our shipping department tries to their best to keep the orders as accurate as possible but on very rare occasions this kind of mistake happens from time to time.
A,Engagement,Positive,And I am so sorry that this happened to you.
A,Problem Investigation,Positive,"Of course, this is not an excuse and a mistake is a mistake."
A,Problem Resolution,Positive,"And right now, what I can do is to help you resolve this issue."
C,,,"Well, they shouldn't have done that to me."
C,,,It's for my son's birthday and a cutting board for an oven?
C,,,"I mean, I mean I can understand if you sent me an oven with the wrong model number but a cutting board?"
C,,,"Seriously, I don't know about you but this smells like a practical joke to me."
A,Problem Resolution,Positive,I assure you amber what happened was an honest mistake.
A,Problem Resolution,Positive,We would never do that to our customers on purpose.
A,Problem Resolution,Positive,"Of course, you really should have received precisely what you ordered and we failed on that and for that I am truly sorry."
A,Problem Resolution,Positive,The best thing that i can do for you now is to make sure that this gets resolved as soon as possible.
C,,,"Well. I don't really have a choice, do I?"
C,,,So get on with it.
A,NA,,"Okay so if i heard you right, your son's birthday is this coming Thursday right?"
C,,,"Yes, that's right."
A,Problem Resolution,Positive,Alright here's what I'm gonna do.
A,Problem Resolution,Positive,"Because you received the wrong item, I will request to have the correct item sent out to you within 24 business hours."
A,Problem Resolution,Positive,"So if we send it to you today, you should receive the oven before your son's birthday on Thursday."
A,Problem Resolution,Positive,All I need from you to make that happen is the photo of the wrong item you received along with a photo of the barcode.
A,Problem Resolution,Positive,Is it possible that you could send to me while we're on the line so I could already process the reshipment for you?
C,,,I can send you the photo but um let me ask you this.
C,,,What guarantee do I have that your company is not gonna mess up again?
C,,,Because my purpose really for calling you guys is to just get a refund.
C,,,I really just want to order from amazon because they have a one-day shipping.
C,,,"Uh no offence Candice, but because of what you sent to me, I'm just not confident enough with your company anymore."
A,Problem Resolution,Positive,Good point Amber and I understand your doubt.
A,Problem Resolution,Positive,"But, when we encounter this kind of issue where a customer receives a damaged item or as in your case a wrong item, we always make sure to handle the matter with extra care so there will be no second mistake."
A,Problem Resolution,Positive,No chance for a second mistake happening.
A,Problem Resolution,Positive,"So, that is why aside from the 24 hour shipping, we will also do a thorough recheck of the reshipment."
A,Problem Resolution,Positive,"So, I can definitely assure you that it's going to be the correct item this time."
C,,,Well okay.
C,,,I guess I'm just gonna have to give you another shot.
C,,,So where do I send the photos to?
A,NA,,You can send it to support@homesupplies.com.
C,,,"Okay hold on, let me go get my phone because I already took a photo of the cutting board yesterday so I should have it on my phone right here."
C,,,Hold on.
C,,,"Okay, uh so that's support@homesupplies.com."
C,,,Okay sent.
C,,,Can you see it?
A,NA,,"Okay, let me check."
A,NA,,"Okay yes, I got it."
A,Problem Resolution,Positive,"Um, by the way Amber, do you also have the photo of the barcode of the cutting board?"
C,,,Is that really necessary?
C,,,I'm not lying.
A,Problem Resolution,Positive,"Yes Amber, I would need it to have your reshipment approved as soon as possible."
A,Problem Resolution,Positive,"After that, we will ship the oven to you immediately and you should receive it within 24 hours."
C,,,Okay let me go upstairs and take a photo.
C,,,Can you hold?
A,NA,,"Sure, take your time."
C,,,"Hello, are you there?"
C,,,"Yes Amber, I'm here."
C,,,I've sent it
C,,,Did you get it? 
A,NA,,Yes i got it.
A,Problem Resolution,Positive,"Um so now, I will forward the photos to the reshipment team and you should receive the oven tomorrow."
A,Problem Resolution,Positive,"About the cutting board you received, you don't have to return it."
A,Problem Resolution,Positive,Um just feel free to keep it keep it or give it away.
C,,,"Oh good, I totally forgot to ask you about that."
C,,,So thank you Candice.
C,,,I really don't want to drive to the post just to return that.
C,,,"So alright, um I guess it's all good then."
C,,,All settled.
A,Problem Resolution,Positive,"Yeah, yes all you have to do now is to wait for the replacement to arrive tomorrow."
A,Problem Resolution,Positive,And we will take care of everything and again we are so sorry for this mistake.
C,,,"Well. As long as the oven arrives tomorrow, I am happy."
C,,,Thank you Candice.
C,,,You've been very patient.
A,Engagement,Positive,You're most welcome Amber.
A,Closure,Positive,Is there anything else that I can help you with today?
C,,,No that's all.
C,,,You have a great day Candice.
A,Closure,Positive,"Bye, have a great day Amber."
A,Closure,Positive,Thank you for calling home supplies.
C,,,Bye.
A,Greetings,Positive,Hi.
A,Greetings,Positive,Thank you for calling Power Up company.
A,Greetings,Positive,This is Candice.
A,Greetings,Positive,How may I help you?
C,,,Hi Candice.
C,,,So I'm calling because you guys overcharged me.
C,,,"Um my subscription to you guys is supposed to be a flat rate 30 dollar per month but for some reason, I am seeing 33 on my paper bill for the month of July so I don't know what's going on."
C,,,I would really appreciate an explanation on this.
A,Engagement,Positive,"Sure, I'll be happy to pull up your account now and check the billing details for you."
A,Account Verification,Positive,Can I have your account number together with your first and last name?
C,,,"Sure, it's 12345 and my full name is John Williams."
A,Engagement,Positive,Thank you John.
A,Engagement,Positive,Just give me a few seconds to pull up your account.
A,Problem Investigation,Positive,"It was for the month of July this year, right?"
C,,,July 2020.
C,,,That's right.
A,NA,,Okay let me see that.
A,Problem Investigation,Positive,"Okay, I have your account pulled up now and I'm only seeing a 30 charge for the month of July this year."
A,Problem Investigation,Positive,Could you recheck your bill and review the amount?
C,,,"No, that can't be right."
C,,,I am literally holding my bill right now and it says July.
C,,,And it says 33 dollars in big bold letters.
C,,,"So, maybe the charge was moved to June or August."
C,,,I don't know.
C,,,All I know is that you're overcharging me and it's written on my paper bill.
A,NA,,Yes John.
A,Problem Investigation,Positive,"I also checked your other month's charges this year from January to July 2020 and all of these months, you were only charged 30."
A,Problem Investigation,Positive,Let me just check further though your last year.
A,Problem Investigation,Positive,"Oh, although I am seeing a 33 dollar charge here but this was way back last year on July 2019."
A,Problem Investigation,Positive,Would you mind checking the year of the billing paper you're holding right now?
C,,,"Oh, Oh my god Candice."
C,,,I'm so so sorry to have wasted your time.
C,,,I really thought this was a recent bill.
A,Engagement,Positive,"No, don't worry about it John."
A,NA,,You're fine.
C,,,This bill was literally on my table this morning.
C,,,I must have dropped it when I was throwing garbage this morning.
C,,,So embarrassing.
C,,,My bad.
A,NA,,"Oh no problem, It happens."
A,NA,,I mean it happens to all of us you know.
C,,,I know right.
C,,,"Anyway Candice, I won't waste any more of your time and thank you so much for your patience."
A,Engagement,Positive,You're welcome John.
A,Closure,Positive,Is there anything else that I can help you with today?
C,,,Maybe no.
C,,,I won't waste any more of your time.
C,,,That's all Candice.
C,,,Have a good one.
A,Closure,Positive,Have a good one John.
A,Closure,Positive,Thank you for calling Power Up.
A,Closure,Positive,Bye.
C,,,Bye Candice.
A,Greetings,Positive,Thank you for calling Coats and Gowns.
A,Greetings,Positive,My name is Sam.
A,Greetings,Positive,How can I help you?
C,,,Oh yes.
C,,,"Um, I bought a coat from from you guys but I need to return it because it was the wrong size and my size is not available."
C,,,I haven't received any email from you and I wonder if my payment is gonna get refunded.
C,,,It seems like it does not reflect on my account yet.
A,Engagement,Positive,I do apologize for the inconvenience but let me go ahead and check if there are some notes and order details.
A,Account Verification,Positive,May I ask for the original online order number?
C,,,"Okay, let me see."
C,,,"Alright, Please wait for a moment."
C,,,"Okay, I believe it's 01714257893."
A,Engagement,Positive,Thank you.
A,NA,,"Just to verify, that's 01714257893."
C,,,"Yes, that's right."
A,Engagement,Positive,I do apologize but the one that you provided is actually not accepting towards our database.
A,Account Verification,Positive,Do you actually have a number that starts with triple 0 7 or 7?
A,Account Verification,Positive,"Or, can I ask for your first and last name so I can manually check it in our database?"
C,,,Yeah. I'm not sure about a triple 0 something.
C,,,"In a way, it's Adam Wilson."
A,Engagement,Positive,"Alright, thank you so much Wilson."
A,NA,,"This is spelled as W for whiskey, I for India, L for Lima, S for Sierra, O for Oscar, and N for November."
A,NA,,Is that correct Adam? 
C,,,"Alright, thank you for that information."
A,Account Verification,Positive,"Okay, let me just quickly look into a portal and check any notes in your order."
A,Problem Investigation,Positive,Do you still have the return tracking from the courier company when you returned the item?
C,,,Not sure.
C,,,Is it the 74391?
A,Problem Investigation,Positive,That's actually the return authorization from Coats and Gowns.
A,Problem Investigation,Positive,"When you returned the item to the courier company for shipping, this should have provided you with the return tracking."
A,Problem Investigation,Positive,Do you still have that?
A,Problem Investigation,Positive,It's actually printed in the upper right part of the receipt.
C,,,"Okay, I probably have to take it up okay."
C,,,I imagine I have it somewhere but it might take some time to look for that.
A,NA,,"Oh, I see."
A,Problem Investigation,Positive,"Anyway, I tried to search for your name and nothing is coming up."
A,Account Verification,Positive,Can I ask for the order under your name originally?
C,,,Yeah yes under my name.
C,,,So it's not under Andy or something.
A,NA,,It's Adam.
C,,,Yeah exactly.
A,Engagement,Positive,Thank you.
A,Account Verification,Positive,Now what's the phone number that you put into order before?
C,,,Okay probably it's 4113450377.
A,Engagement,Positive,Thank you.
A,NA,,"Just to make sure, it's 4113450377."
A,NA,,Is that correct?
C,,,Oh 0377.
A,Account Verification,Positive,Okay and what's the email address that you gave when you filled out the order form?
C,,,"Okay, that should be adam_wilson@millfence.com."
A,Engagement,Positive,Thank you.
A,NA,,"So again, it's adam_wilson@millfence.com."
A,NA,,Is that correct?
C,,,"Yes, it is."
A,Engagement,Positive,Thank you.
A,NA,,So Adam_wilson@millfence.com.
A,Engagement,Positive,"Okay, thank you."
A,Problem Investigation,Positive,Now I just want to make sure that I have the correct details.
A,Engagement,Positive,Please hold on for a moment.
A,Problem Investigation,Positive,I will check on the details here on my end.
A,Engagement,Positive,Okay?
C,,,"Sure, no problem."
A,Engagement,Positive,"Alright, okay, thank you for patiently waiting Adam. "
A,Problem Investigation,Positive,Now I can actually see here that you have called the quality informers that you'd like to return the item on the 15th of November.
A,Problem Investigation,Positive,Is that correct?
A,Problem Investigation,Positive,"Yes, now did you return the item to company in the same day that you called?"
C,,,Probably close to it.
C,,,I'm not really sure if it's on the same day though.
C,,,But probably just close to that day.
A,Engagement,Positive,I understand.
A,Problem Resolution,Positive,"However, I've been checking the date that you actually called in for the return."
A,Problem Resolution,Positive,It's already beyond the timeframe that we ask for refunds.
A,Problem Resolution,Positive,So what we'll do is I'll go ahead and forward this information to our corporate office and I'll have them check and update you directly about the refund.
A,Problem Resolution,Positive,"So, please expect an email within 2 to 4 business days."
A,Engagement,Positive,Is that okay with you?
C,,,2 to 4 business days?
A,NA,,"Yes, no worries I will send it to to them right now."
C,,,Alright Alright.
C,,,"First, I thought that it will probably be like 3 to 5 weeks to process."
A,Problem Resolution,Positive,Oh no no no don't don't worry Adam it's only 2 to 4 business days.
A,Problem Investigation,Positive,"So, you already checked your account and nothing has been credited yet in the card ending in 753."
A,Problem Investigation,Positive,Is that right?
C,,,Nothing yet.
A,Problem Resolution,Positive,Okay I understand and I'll go ahead and forward them the details that I have here.
A,Problem Resolution,Positive,"So I'll send the email to adam_wilson@millfence.com, correct?;"
C,,,Yes it's right.;
A,Engagement,Positive,"Alright, thank you so much for that information, Adam."
A,Closure,Positive,I will be forwarding this over to our corporate office and thank you again for calling Coats and Gowns.
A,Closure,Positive,Is there anything else I can help you with today?
C,,,"No no, that's all, thank you."
A,Closure,Positive,You're welcome and my pleasure.
A,Closure,Positive,Have a nice day.
A,Closure,Positive,Bye.
C,,,"Alright, thank you."
A,Greetings,Positive,Thank you for calling Nissan.
A,Greetings,Positive,My name is Lauren.
A,Greetings,Positive,Can I have your name?
C,,,My name is John Smith.
A,Engagement,Positive,Thank you John.
A,Greetings,Positive,How can I help you?
C,,,I was just calling about to see how much it would cost to update the map in my car.
A,Engagement,Positive,I'd be happy to help you with that today.
A,Account Verification,Positive,Did you receive a mailer from us?
C,,,I did.
C,,,Do you need the customer number?
A,NA,,Yes please.
C,,,"Okay, it's 15243."
A,Engagement,Positive,Thank you.
A,Account Verification,Positive,"And, the year making model of your vehicle?"
C,,,"Yeah, I have a 2009 Nissan Altima."
A,NA,,Oh nice car.
C,,,"Yeah, thank you."
C,,,We really enjoy it.
A,Account Verification,Positive,"Okay, I think I found your profile here."
A,Account Verification,Positive,Can I have you verify your address and phone number please?
C,,,"Yes, it's 1255, North Research Way. That's in Orem Utah, 84097."
C,,,"And, my phone number is a 014311000."
A,Problem Investigation,Positive,"Thanks John, I located your information the newest version we have available for your vehicle is version 7.7 which was released in March of 2012."
A,Problem Investigation,Positive,The price of the new map is $99 plus shipping and taxes.
A,Problem Resolution,Positive,Let me go ahead and set up this order for you.
C,,,"Well, can we wait just a second?"
C,,,I'm not really sure if I can afford it right now.
A,Problem Resolution,Positive,"Alright, well here are a few reasons to consider purchasing today."
A,Problem Resolution,Positive,It looks as though you haven't updated your vehicle for three years.
A,Problem Resolution,Positive,"So, that would be the equivalent of getting three years worth of updates for the price of one."
A,Engagement,Positive,Okay?
A,Problem Resolution,Positive,"In addition, special offers like the current promotion don't come around too often."
A,Problem Resolution,Positive,I would definitely recommend taking advantage of the extra $50 off before it expires.
C,,,"Yeah, that does sound pretty good.;"
A,Problem Resolution,Positive,"If I set this order up for you now , it'll ship out today and for $50 less"
A,Problem Resolution,Positive,Do you have your credit card handy and I can place this order for you now?
C,,,Yeah.
C,,,Let's uh you know let's let's go ahead and use my visa card.
C,,,My number is 467895018679.
A,Engagement,Positive,Thank you John.
A,NA,,Let me repeat that: 467895018679.
A,,,Am I correct?
C,,,"Yeah, you got it."
A,Problem Resolution,Positive,Let me process that for you John.
C,,,"Yep, all good."
A,Problem Resolution,Positive,The transaction has been successful.
A,Problem Resolution,Positive,"Just to repeat, we have upgraded your Nissan Map to the latest version 7.7 at a cost of 99 dollars, all inclusive."
C,,,"Yeah, thank you for that Lauren."
A,Closure,Positive,Is there anything else I can help with John?
C,,,No. Not really.
C,,,Thank you very much.
C,,,Have a good day.
A,Closure,Positive,You too. 
A,Closure,Positive,Bye.
A,Greetings,Positive,Thank you for calling South Chicago Southern Cellular service.
A,Greetings,Positive,This is Robert.
A,Greetings,Positive,How can I assist you today?
C,,,"Yes, hi I just received a mail from you guys and the screen is cracked."
A,Account Verification,Positive,Do you have your phone number so I can pull up your account?
C,,,I don't remember.
C,,,I don't normally call myself.
