Start Time,End Time,Speaker,Transcript
1564.48,1569.36,SPEAKER_05," If you have one today and want to sell it today, it's worth $100."
1570.08,1572.80,SPEAKER_05, You have any idea how much that's going to be worth in five years.
1572.80,1573.44,SPEAKER_03, Yeah.
1573.44,1574.88,SPEAKER_05, I have to get my hands on one.
1577.04,1578.48,SPEAKER_03," Finally, Daniel, we're still alive."
1578.48,1582.24,SPEAKER_03, I'm sure he'd have one because I'm sure Sven was one of the recipients of those.
1582.24,1583.20,SPEAKER_05," Oh, I bet he was."
1584.72,1586.72,SPEAKER_05," But, oh, it's crazy."
1587.52,1588.40,SPEAKER_05, But you believe that?
1588.40,1589.76,SPEAKER_05," Oh, I didn't know it was offensive."
1592.48,1593.28,SPEAKER_05, He's a freak.
1593.28,1593.76,SPEAKER_05, Yeah.
1593.76,1594.32,SPEAKER_05, Yeah.
1594.96,1596.16,SPEAKER_05, He is such a freak.
1596.16,1596.96,SPEAKER_03, Yeah.
1597.04,1601.28,SPEAKER_05," And ever since that interview, like everyone quotes Lisa Marie Presley at work,"
1602.80,1609.68,SPEAKER_03," she said she was so dumb in that interview. I mean, the bit that I saw, yeah, they've pre-played it here like twice already, I think."
1610.40,1614.72,SPEAKER_03," But I just saw it for, I just saw like maybe the last 10 minutes, but she's such an idiot."
1614.72,1615.20,SPEAKER_03, Yeah.
1615.20,1618.00,SPEAKER_03, It's truly unbelievable how stupid she is.
1618.00,1618.32,SPEAKER_03, Yeah.
1619.20,1622.88,SPEAKER_03," Well, now, did you see the part where her father really wasn't that bright either."
1622.88,1623.92,SPEAKER_05, I don't think so.
1624.32,1625.28,SPEAKER_03," Anyway, okay."
1625.28,1639.60,SPEAKER_05," But did you see the part where Jane Polly or Diane Sawyer, whoever she was, says, what do you say to your fans and the audience members who think that you and Michael don't have a true relationship and you don't even sleep in the same bed?"
1640.24,1644.48,SPEAKER_05," And all of a sudden, at least in Marie goes, I tell them to eat me."
1646.56,1647.36,SPEAKER_03, She said that.
1648.88,1649.84,SPEAKER_03, Oh my goodness.
1650.32,1654.48,SPEAKER_03," So she didn't, she didn't inherit her mother's sophistication, huh?"
1654.48,1655.04,SPEAKER_03, No.
1656.56,1658.40,SPEAKER_05, So now we do that at work online.
1664.48,1665.84,SPEAKER_03, But she's priceless.
1667.04,1672.88,SPEAKER_03," God, those care kids are going to be the most like demented, weirdos, nasty, horrible kids."
1673.68,1675.04,SPEAKER_05," Oh my God, Hillary."
1675.04,1681.68,SPEAKER_05," Yesterday, I turned on Wimbledon and it was the the round before the quarterfinals."
1682.56,1683.92,SPEAKER_05, I'll fall the round of 16 I think.
1684.72,1689.60,SPEAKER_05," And it was Gabriella Sabatini, remember how he plays Lisa Raymond."
1691.12,1693.68,SPEAKER_05, I graduated from high school with Lisa Raymond.
1693.68,1694.88,SPEAKER_05, You can't know.
1696.48,1697.28,SPEAKER_05, Wow.
1697.28,1698.08,SPEAKER_05, There's a one.
1698.80,1700.16,SPEAKER_05, Gabriella Sabatini.
1700.16,1701.20,SPEAKER_03, What's her butt?
1701.20,1707.12,SPEAKER_05," But apparently, Lisa Raymond is like the top ranked US player for two years in a row."
1708.24,1708.56,SPEAKER_05, Yeah.
1709.28,1710.24,SPEAKER_03, Wait a minute.
1710.24,1711.28,SPEAKER_03, I think I remember.
1711.28,1712.56,SPEAKER_03, Was she blonde?
1712.56,1712.88,SPEAKER_05, Yes.
1714.24,1715.52,SPEAKER_05, She's kind of ugly and dumb.
1716.32,1717.60,SPEAKER_05, She has a twitching problem.
1718.24,1722.32,SPEAKER_03," Is she on the, um, were she on the tennis team with me?"
1723.60,1724.64,SPEAKER_05, I don't know.
1724.64,1727.52,SPEAKER_03, There was this girl who was really like a good tennis player.
1727.52,1730.72,SPEAKER_03," Like she was nationally ranked, ranked pretty high and stuff."
1730.72,1731.60,SPEAKER_03, Who was on that?
1731.60,1734.88,SPEAKER_05," Well, there was that ditzy blonde who was really good on your team."
1735.84,1736.16,SPEAKER_05, Hmm.
1736.16,1737.44,SPEAKER_05, Was a two years ahead of me.
1738.16,1741.84,SPEAKER_05," I don't, I don't think Lisa Raymond came to Notre Dame when you were still there."
1742.64,1743.28,SPEAKER_01, Okay.
1743.28,1746.24,SPEAKER_05," I think she, um, came in like sophomore year or something."
1747.12,1749.12,SPEAKER_05, But it was crazy to see her on TV.
1749.12,1750.00,SPEAKER_01, Yeah.
1750.00,1753.20,SPEAKER_05, And to hear Chris Edward Lloyd talking about Notre Dame.
1754.24,1754.64,SPEAKER_03, Really?
1754.64,1756.16,SPEAKER_03, She said something about Notre Dame.
1756.16,1756.88,SPEAKER_05, How will they talk?
1756.88,1758.48,SPEAKER_05," Well, she's saying anything about it."
1759.20,1763.12,SPEAKER_05," They said where she lives now, where she's from held."
1763.12,1766.00,SPEAKER_05," She wasn't start playing tennis, you know, like the background info."
1767.04,1770.88,SPEAKER_05," And they mentioned that, you know, she went to high school and Villanova, Pennsylvania."
1771.92,1772.88,SPEAKER_05, It was very exciting.
1773.76,1775.68,SPEAKER_05, And I just randomly turned it on.
1775.68,1776.48,SPEAKER_05, Wow.
1776.48,1777.20,SPEAKER_05, So I taped it.
1779.76,1782.00,SPEAKER_03, Really good looking forward to fanning.
1782.00,1783.12,SPEAKER_04, All I do is tape things.
1784.08,1784.88,SPEAKER_04, Oh my God.
1785.84,1786.64,SPEAKER_03, What?
1786.64,1788.48,SPEAKER_04, The second is died.
1788.48,1789.12,SPEAKER_03, What?
1789.12,1789.92,SPEAKER_04, The second is
1790.88,1794.24,SPEAKER_03," Wait, take up or something. The second you bus."
1794.24,1795.52,SPEAKER_04," Yeah, died."
1797.60,1798.72,SPEAKER_03, Are you sure?
1798.72,1799.28,SPEAKER_03," Well, no."
